# Partial output of a background enumeration started 2026-09-01 22:35 by Claude session 850f4565 (pid 46713, python3 reading a heredoc).
# Copied 2026-09-02 08:40 from the session task file before a machine restart. The job printed these 13 rows in its first seconds and nothing further in the following 10 hours at ~98% CPU; it was working on the case after (d=2, t=8, fan=3) when the machine was restarted.

nested block trees: (d, t, fan, alpha, max_slope, k, alpha-k, #breaks)
(1, 3, 3, 19, -0.9129, 11, 8, 0)
(1, 3, 4, 25, -0.9149, 15, 10, 0)
(1, 4, 3, 25, -0.9323, 12, 13, 0)
(1, 4, 4, 33, -0.9343, 16, 17, 0)
(1, 6, 3, 37, -0.9469, 13, 24, 0)
(1, 6, 4, 49, -0.9495, 17, 32, 0)
(1, 8, 3, 49, -0.9529, 13, 36, 0)
(1, 8, 4, 65, -0.9556, 18, 47, 0)
(2, 3, 3, 172, -0.9199, 109, 63, 0)
(2, 3, 4, 301, -0.9184, 193, 108, 0)
(2, 4, 3, 301, -0.9407, 157, 144, 0)
(2, 4, 4, 529, -0.9403, 279, 250, 0)
(2, 6, 3, 667, -0.9558, 259, 408, 0)
(2, 6, 4, 1177, -0.9559, 459, 718, 0)
(2, 8, 3, 1177, -0.9618, 363, 814, 0)
